Date,TestProviders,N_PCR,N_posi_PCR,PercentPCR,N_anti,N_posi_anti,PercentAnti
08-03-2021,13,1297,2,0.15,53378,221,0.41
07-03-2021,10,191,5,2.25,47036,209,0.44
06-03-2021,7,407,1,0.25,43762,143,0.33
05-03-2021,10,2143,2,0.09,70563,189,0.27
04-03-2021,15,1997,10,0.50,62289,190,0.31
03-03-2021,13,1868,4,0.21,52053,119,0.23
02-03-2021,11,1768,1,0.06,52769,147,0.28
01-03-2021,16,1830,1,0.05,50221,114,0.23
28-02-2021,8,198,2,1.01,36848,126,0.34
27-02-2021,10,249,0,0.00,35966,109,0.30
26-02-2021,13,2248,10,0.44,54749,135,0.25
25-02-2021,14,1874,2,0.11,41179,120,0.29
24-02-2021,16,1511,1,0.07,31845,95,0.30
23-02-2021,16,700,1,0.14,33454,111,0.33
22-02-2021,14,1636,1,0.06,35807,129,0.36
21-02-2021,12,98,4,4.08,24566,104,0.42
20-02-2021,9,244,1,0.41,25082,68,0.27
19-02-2021,16,2091,1,0.05,39562,97,0.25
18-02-2021,13,1452,3,0.21,34259,59,0.17
17-02-2021,12,1334,6,0.45,31142,99,0.32
16-02-2021,13,2026,7,0.35,25834,96,0.37
15-02-2021,15,1363,2,0.15,24789,82,0.33
14-02-2021,10,261,2,0.77,17296,51,0.29
13-02-2021,11,347,0,0.00,18069,39,0.22
12-02-2021,13,2196,5,0.23,27368,50,0.18
11-02-2021,12,1045,1,0.10,23779,52,0.22
10-02-2021,14,1655,1,0.06,20142,38,0.19
09-02-2021,13,2074,2,0.10,12299,30,0.24
08-02-2021,14,1639,1,0.06,18177,58,0.32
07-02-2021,10,88,2,2.27,17068,81,0.47
06-02-2021,9,300,4,1.33,16032,67,0.42
05-02-2021,11,1612,3,0.19,22985,35,0.15
04-02-2021,17,1193,4,0.34,20315,52,0.26
03-02-2021,12,1285,3,0.23,20181,67,0.33
02-02-2021,19,1950,7,0.36,16935,54,0.32
01-02-2021,18,2069,4,0.19,17731,59,0.33
31-01-2021,10,114,2,1.75,19981,92,0.46
30-01-2021,11,519,6,1.16,22004,68,0.31
29-01-2021,16,1347,5,0.37,33830,78,0.23
28-01-2021,14,1238,1,0.08,33792,94,0.28
27-01-2021,17,1659,5,0.30,30572,98,0.32
26-01-2021,18,2755,1,0.04,28773,122,0.42
25-01-2021,17,1787,5,0.25,31236,112,0.36
24-01-2021,12,98,2,2.04,22760,140,0.62
23-01-2021,9,179,3,1.68,22973,134,0.58
22-01-2021,16,922,3,0.33,35237,108,0.31
21-01-2021,19,1687,6,0.36,32562,157,0.48
20-01-2021,18,1644,6,0.36,26071,159,0.61
19-01-2021,16,1794,5,0.28,25038,156,0.62
18-01-2021,20,1857,9,0.48,26147,159,0.61
17-01-2021,11,98,0,0.00,20733,142,0.68
16-01-2021,12,132,5,3.79,20707,148,0.71
15-01-2021,17,1228,12,0.98,29653,182,0.61
14-01-2021,17,818,7,0.86,26777,214,0.80
13-01-2021,19,1254,9,0.72,16666,183,1.10
12-01-2021,19,1558,25,1.60,15325,229,1.49
11-01-2021,21,1559,26,1.67,22198,261,1.18
10-01-2021,13,372,1,0.27,14251,202,1.42
09-01-2021,14,185,0,0.00,14745,171,1.16
08-01-2021,15,912,7,0.77,18885,248,1.31
07-01-2021,15,1146,6,0.52,18953,216,1.14
06-01-2021,19,1842,8,0.43,19627,303,1.54
05-01-2021,17,1471,11,0.75,23099,351,1.52
04-01-2021,21,2602,16,0.61,32978,453,1.37
03-01-2021,15,775,3,0.39,26152,491,1.88
02-01-2021,13,171,3,1.75,18282,443,2.42
01-01-2021,7,5,0,0.00,9562,321,3.36
31-12-2020,15,110,4,3.64,46632,425,0.91
30-12-2020,16,707,8,1.13,91471,686,0.75
29-12-2020,18,825,14,1.70,44671,760,1.70
28-12-2020,16,1061,9,0.85,32095,868,2.70
27-12-2020,9,45,1,2.22,22383,689,3.08
26-12-2020,11,98,2,2.04,25194,685,2.72
25-12-2020,9,27,1,3.70,20942,730,3.49
24-12-2020,12,199,4,2.01,37187,715,1.92
23-12-2020,19,2707,66,2.44,82216,1154,1.40
22-12-2020,19,2890,56,1.94,66779,1059,1.59
21-12-2020,18,3206,46,1.43,55887,1023,1.83
20-12-2020,14,193,4,2.07,39387,885,2.25
19-12-2020,14,805,11,1.37,34342,788,2.29
18-12-2020,17,828,17,2.05,38665,895,2.31
17-12-2020,16,1289,42,3.26,32986,947,2.87
16-12-2020,16,1785,45,2.52,18089,670,3.70
15-12-2020,12,2019,26,1.29,12130,440,3.63
14-12-2020,6,27,1,3.70,10648,333,3.13
