08.03.2021 13 1.297 2 0,15% 53.378 221 0,41%
07.03.2021 10 191 5 2,25% 47.036 209 0,44%
06.03.2021 7 407 1 0,25% 43.762 143 0,33%
05.03.2021 10 2.143 2 0,09% 70.563 189 0,27%
04.03.2021 15 1.997 10 0,50% 62.289 190 0,31%
03.03.2021 13 1.868 4 0,21% 52.053 119 0,23%
02.03.2021 11 1.768 1 0,06% 52.769 147 0,28%
01.03.2021 16 1.830 1 0,05% 50.221 114 0,23%
28.02.2021 8 198 2 1,01% 36.848 126 0,34%
27.02.2021 10 249 0 0,00% 35.966 109 0,30%
26.02.2021 13 2.248 10 0,44% 54.749 135 0,25%
25.02.2021 14 1.874 2 0,11% 41.179 120 0,29%
24.02.2021 16 1.511 1 0,07% 31.845 95 0,30%
23.02.2021 16 700 1 0,14% 33.454 111 0,33%
22.02.2021 14 1.636 1 0,06% 35.807 129 0,36%
21.02.2021 12 98 4 4,08% 24.566 104 0,42%
20.02.2021 9 244 1 0,41% 25.082 68 0,27%
19.02.2021 16 2.091 1 0,05% 39.562 97 0,25%
18.02.2021 13 1.452 3 0,21% 34.259 59 0,17%
17.02.2021 12 1.334 6 0,45% 31.142 99 0,32%
16.02.2021 13 2.026 7 0,35% 25.834 96 0,37%
15.02.2021 15 1.363 2 0,15% 24.789 82 0,33%
14.02.2021 10 261 2 0,77% 17.296 51 0,29%
13.02.2021 11 347 0 0,00% 18.069 39 0,22%
12.02.2021 13 2.196 5 0,23% 27.368 50 0,18%
11.02.2021 12 1.045 1 0,10% 23.779 52 0,22%
10.02.2021 14 1.655 1 0,06% 20.142 38 0,19%
09.02.2021 13 2.074 2 0,10% 12.299 30 0,24%
08.02.2021 14 1.639 1 0,06% 18.177 58 0,32%
07.02.2021 10 88 2 2,27% 17.068 81 0,47%
06.02.2021 9 300 4 1,33% 16.032 67 0,42%
05.02.2021 11 1.612 3 0,19% 22.985 35 0,15%
04.02.2021 17 1.193 4 0,34% 20.315 52 0,26%
03.02.2021 12 1.285 3 0,23% 20.181 67 0,33%
02.02.2021 19 1.950 7 0,36% 16.935 54 0,32%
01.02.2021 18 2.069 4 0,19% 17.731 59 0,33%
31.01.2021 10 114 2 1,75% 19.981 92 0,46%
30.01.2021 11 519 6 1,16% 22.004 68 0,31%
29.01.2021 16 1.347 5 0,37% 33.830 78 0,23%
28.01.2021 14 1.238 1 0,08% 33.792 94 0,28%
27.01.2021 17 1.659 5 0,30% 30.572 98 0,32%
26.01.2021 18 2.755 1 0,04% 28.773 122 0,42%
25.01.2021 17 1.787 5 0,25% 31.236 112 0,36%
24.01.2021 12 98 2 2,04% 22.760 140 0,62%
23.01.2021 9 179 3 1,68% 22.973 134 0,58%
22.01.2021 16 922 3 0,33% 35.237 108 0,31%
21.01.2021 19 1.687 6 0,36% 32.562 157 0,48%
20.01.2021 18 1.644 6 0,36% 26.071 159 0,61%
19.01.2021 16 1.794 5 0,28% 25.038 156 0.62%
18.01.2021 20 1.857 9 0,48% 26.147 159 0,61%
17.01.2021 11 98 0 0,00% 20.733 142 0,68%
16.01.2021 12 132 5 3,79% 20.707 148 0,71%
15.01.2021 17 1.228 12 0,98% 29.653 182 0,61%
14.01.2021 17 818 7 0,86% 26.777 214 0,80%
13.01.2021 19 1.254 9 0,72% 16.666 183 1,10%
12.01.2021 19 1.558 25 1,60% 15.325 229 1,49%
11.01.2021 21 1.559 26 1,67% 22.198 261 1,18%
10.01.2021 13 372 1 0,27% 14.251 202 1,42%
09.01.2021 14 185 0 0,00% 14.745 171 1,16%
08.01.2021 15 912 7 0,77% 18.885 248 1,31%
07.01.2021 15 1.146 6 0,52% 18.953 216 1,14%
06.01.2021 19 1.842 8 0,43% 19.627 303 1,54%
05.01.2021 17 1.471 11 0,75% 23.099 351 1,52%
04.01.2021 21 2.602 16 0,61% 32.978 453 1,37%
03.01.2021 15 775 3 0,39% 26.152 491 1,88%
02.01.2021 13 171 3 1,75% 18.282 443 2,42%
01.01.2021 7 5 0 0,00% 9.562 321 3,36%
31.12.2020 15 110 4 3,64% 46.632 425 0,91%
30.12.2020 16 707 8 1,13% 91.471 686 0,75%
29.12.2020 18 825 14 1,70% 44.671 760 1,70%
28.12.2020 16 1.061 9 0,85% 32.095 868 2,70%
27.12.2020 9 45 1 2,22% 22.383 689 3,08%
26.12.2020 11 98 2 2,04% 25.194 685 2,72%
25.12.2020 9 27 1 3,70% 20.942 730 3,49%
24.12.2020 12 199 4 2,01% 37.187 715 1,92%
23.12.2020 19 2.707 66 2,44% 82.216 1.154 1,40%
22.12.2020 19 2.890 56 1,94% 66.779 1.059 1,59%
21.12.2020 18 3.206 46 1,43% 55.887 1.023 1,83%
20.12.2020 14 193 4 2,07% 39.387 885 2,25%
19.12.2020 14 805 11 1,37% 34.342 788 2,29%
18.12.2020 17 828 17 2,05% 38.665 895 2,31%
17.12.2020 16 1.289 42 3,26% 32.986 947 2,87%
16.12.2020 16 1.785 45 2,52% 18.089 670 3,70%
15.12.2020 12 2.019 26 1,29% 12.130 440 3,63%
14.12.2020 6 27 1 3,70% 10.648 333 3,13%
